
2023/06/11 (14:10:15) | ERROR: Invalid size of hex value: ccc

2023/06/11 (15:28:24) | ===> btop++ v.1.2.13
2023/06/11 (15:28:24) | ERROR: Invalid size of hex value: 000
2023/06/11 (15:28:24) | ERROR: Invalid size of hex value: AAA
2023/06/11 (15:28:24) | ERROR: Invalid size of hex value: ccc

2023/06/11 (15:28:44) | ===> btop++ v.1.2.13
2023/06/11 (15:28:44) | ERROR: Invalid size of hex value: 000
2023/06/11 (15:28:44) | ERROR: Invalid size of hex value: AAA
2023/06/11 (15:28:44) | ERROR: Invalid size of hex value: ccc

2023/06/11 (21:11:29) | ===> btop++ v.1.2.13
2023/06/11 (21:11:29) | ERROR: Invalid size of hex value: 000
2023/06/11 (21:11:29) | ERROR: Invalid size of hex value: AAA
2023/06/11 (21:11:29) | ERROR: Invalid size of hex value: ccc
